#   lamda     c0    c1      c2
 197.5244    3.3755E+01    8.6252E-03    1.1988E-04
 197.5344    3.3728E+01    8.0200E-03    1.1494E-04
 197.5444    3.3684E+01    7.7762E-03    1.2420E-04
 197.5544    3.3645E+01    8.4082E-03    1.5079E-04
 197.5644    3.3637E+01    7.8804E-03    1.3731E-04
 197.5744    3.3635E+01    7.6909E-03    1.3015E-04
 197.5844    3.3650E+01    7.9067E-03    1.2144E-04
 197.5944    3.3661E+01    7.7843E-03    1.0695E-04
 197.6044    3.3638E+01    6.3984E-03    8.6376E-05
 197.6144    3.3634E+01    6.9071E-03    8.6845E-05
 197.6244    3.3599E+01    7.1942E-03    1.0049E-04
 197.6344    3.3589E+01    7.9714E-03    1.1236E-04
 197.6444    3.3634E+01    1.0778E-02    1.4232E-04
 197.6544    3.3599E+01    9.4790E-03    1.2343E-04
 197.6644    3.3590E+01    9.1800E-03    1.1814E-04
 197.6744    3.3582E+01    8.2915E-03    1.0136E-04
 197.6844    3.3553E+01    9.0562E-03    1.3101E-04
 197.6944    3.3530E+01    8.9450E-03    1.3197E-04
 197.7044    3.3513E+01    9.1789E-03    1.3782E-04
 197.7144    3.3479E+01    9.0670E-03    1.3946E-04
 197.7244    3.3462E+01    9.9802E-03    1.5823E-04
 197.7344    3.3469E+01    9.7353E-03    1.4245E-04
 197.7444    3.3497E+01    1.0290E-02    1.3484E-04
 197.7544    3.3498E+01    9.5079E-03    1.1039E-04
 197.7644    3.3466E+01    9.4089E-03    1.1642E-04
 197.7744    3.3442E+01    9.5607E-03    1.2519E-04
 197.7844    3.3447E+01    1.0220E-02    1.2561E-04
 197.7944    3.3424E+01    1.1596E-02    1.5652E-04
 197.8044    3.3396E+01    1.2422E-02    1.7965E-04
 197.8144    3.3383E+01    1.0510E-02    1.4404E-04
 197.8244    3.3390E+01    1.0880E-02    1.4451E-04
 197.8344    3.3372E+01    9.4374E-03    1.1915E-04
 197.8444    3.3368E+01    9.4392E-03    1.1867E-04
 197.8544    3.3377E+01    9.4378E-03    1.1391E-04
 197.8644    3.3376E+01    9.7998E-03    1.2089E-04
 197.8744    3.3378E+01    9.9795E-03    1.2566E-04
 197.8844    3.3367E+01    1.0450E-02    1.3709E-04
 197.8944    3.3397E+01    1.0842E-02    1.3276E-04
 197.9044    3.3371E+01    1.0620E-02    1.3169E-04
 197.9144    3.3363E+01    1.1140E-02    1.3733E-04
 197.9244    3.3355E+01    1.1427E-02    1.3338E-04
 197.9344    3.3329E+01    1.1400E-02    1.3111E-04
 197.9444    3.3298E+01    1.0775E-02    1.2468E-04
 197.9544    3.3267E+01    8.9278E-03    9.2712E-05
 197.9645    3.3223E+01    8.0618E-03    8.8425E-05
 197.9745    3.3231E+01    7.0278E-03    6.1891E-05
 197.9845    3.3209E+01    6.7657E-03    6.2113E-05
 197.9945    3.3202E+01    6.5653E-03    5.5158E-05
 198.0045    3.3174E+01    6.0522E-03    5.1101E-05
 198.0145    3.3151E+01    7.5497E-03    8.9793E-05
 198.0245    3.3150E+01    8.4171E-03    1.0329E-04
 198.0345    3.3128E+01    9.9866E-03    1.3451E-04
 198.0445    3.3100E+01    1.1139E-02    1.6549E-04
 198.0545    3.3098E+01    1.0835E-02    1.4999E-04
 198.0645    3.3078E+01    1.0584E-02    1.4488E-04
 198.0745    3.3101E+01    1.1251E-02    1.4085E-04
 198.0845    3.3088E+01    1.1171E-02    1.4354E-04
 198.0945    3.3065E+01    1.1057E-02    1.5355E-04
 198.1045    3.3036E+01    8.6794E-03    1.1499E-04
 198.1145    3.3010E+01    9.1396E-03    1.2723E-04
 198.1245    3.2972E+01    9.0393E-03    1.3532E-04
 198.1345    3.2964E+01    9.7844E-03    1.4365E-04
 198.1445    3.2955E+01    9.4875E-03    1.3593E-04
 198.1545    3.2959E+01    1.0039E-02    1.3832E-04
 198.1645    3.2958E+01    1.0778E-02    1.4926E-04
 198.1745    3.2941E+01    1.0590E-02    1.5403E-04
 198.1845    3.2930E+01    9.6271E-03    1.3763E-04
 198.1945    3.2904E+01    1.0436E-02    1.6237E-04
 198.2045    3.2888E+01    1.1012E-02    1.7829E-04
 198.2145    3.2895E+01    1.0584E-02    1.6030E-04
 198.2245    3.2886E+01    9.5390E-03    1.3953E-04
 198.2345    3.2869E+01    8.7338E-03    1.2594E-04
 198.2445    3.2837E+01    9.2879E-03    1.4699E-04
 198.2545    3.2818E+01    8.7506E-03    1.4169E-04
 198.2645    3.2812E+01    9.3137E-03    1.5348E-04
 198.2745    3.2799E+01    1.0062E-02    1.7227E-04
 198.2845    3.2780E+01    1.0141E-02    1.7523E-04
 198.2945    3.2798E+01    1.0046E-02    1.5510E-04
 198.3045    3.2792E+01    9.6215E-03    1.4239E-04
 198.3145    3.2792E+01    9.3217E-03    1.2730E-04
 198.3245    3.2786E+01    1.0404E-02    1.4221E-04
 198.3345    3.2785E+01    9.6102E-03    1.1799E-04
 198.3445    3.2762E+01    9.3617E-03    1.1792E-04
 198.3545    3.2759E+01    9.7231E-03    1.2058E-04
 198.3645    3.2718E+01    9.5794E-03    1.2707E-04
 198.3745    3.2706E+01    8.9860E-03    1.2126E-04
 198.3845    3.2681E+01    8.5115E-03    1.1688E-04
 198.3945    3.2663E+01    8.1119E-03    1.1036E-04
 198.4045    3.2645E+01    8.2466E-03    1.2028E-04
 198.4145    3.2640E+01    7.7246E-03    1.0609E-04
 198.4245    3.2646E+01    8.9469E-03    1.2413E-04
 198.4345    3.2653E+01    9.5313E-03    1.3400E-04
 198.4445    3.2622E+01    9.4691E-03    1.3911E-04
 198.4545    3.2607E+01    9.2163E-03    1.4369E-04
 198.4645    3.2583E+01    9.9600E-03    1.5693E-04
 198.4745    3.2549E+01    1.0033E-02    1.6485E-04
 198.4845    3.2515E+01    9.7185E-03    1.7214E-04
 198.4945    3.2504E+01    8.8370E-03    1.5002E-04
 198.5045    3.2479E+01    9.6336E-03    1.7180E-04
 198.5145    3.2460E+01    1.0055E-02    1.8285E-04
 198.5245    3.2432E+01    1.0207E-02    1.9017E-04
 198.5345    3.2420E+01    1.0153E-02    1.9337E-04
 198.5445    3.2415E+01    1.0276E-02    1.9309E-04
 198.5546    3.2410E+01    1.0206E-02    1.9621E-04
 198.5646    3.2401E+01    9.9835E-03    2.0547E-04
 198.5746    3.2397E+01    9.9183E-03    2.0723E-04
 198.5846    3.2399E+01    1.1677E-02    2.3819E-04
 198.5946    3.2388E+01    1.2204E-02    2.4430E-04
 198.6046    3.2368E+01    1.2405E-02    2.4820E-04
 198.6146    3.2349E+01    1.2402E-02    2.4675E-04
 198.6246    3.2340E+01    1.2959E-02    2.5648E-04
 198.6346    3.2344E+01    1.3353E-02    2.5803E-04
 198.6446    3.2326E+01    1.3114E-02    2.5776E-04
 198.6546    3.2305E+01    1.3427E-02    2.6356E-04
 198.6646    3.2323E+01    1.3304E-02    2.4522E-04
 198.6746    3.2325E+01    1.2298E-02    2.1731E-04
 198.6846    3.2301E+01    1.0811E-02    1.8661E-04
 198.6946    3.2303E+01    1.1355E-02    1.8732E-04
 198.7046    3.2309E+01    1.1391E-02    1.8685E-04
 198.7146    3.2304E+01    1.1294E-02    1.8559E-04
 198.7246    3.2281E+01    1.1333E-02    1.9601E-04
 198.7346    3.2260E+01    1.2742E-02    2.2935E-04
 198.7446    3.2254E+01    1.2164E-02    2.1571E-04
 198.7546    3.2260E+01    1.2198E-02    2.0910E-04
 198.7646    3.2250E+01    1.0930E-02    1.7741E-04
 198.7746    3.2258E+01    1.1315E-02    1.6870E-04
 198.7846    3.2276E+01    1.1344E-02    1.6040E-04
 198.7946    3.2293E+01    1.1142E-02    1.4823E-04
 198.8046    3.2256E+01    1.0339E-02    1.4384E-04
 198.8146    3.2202E+01    1.0489E-02    1.6428E-04
 198.8246    3.2173E+01    1.0519E-02    1.7536E-04
 198.8346    3.2162E+01    1.0702E-02    1.8256E-04
 198.8446    3.2170E+01    1.0214E-02    1.6260E-04
 198.8546    3.2160E+01    1.0254E-02    1.5974E-04
 198.8646    3.2173E+01    9.4102E-03    1.3481E-04
 198.8746    3.2173E+01    8.5243E-03    1.1404E-04
 198.8846    3.2183E+01    8.9860E-03    1.1246E-04
 198.8946    3.2178E+01    9.7418E-03    1.2673E-04
 198.9046    3.2165E+01    9.1602E-03    1.1792E-04
 198.9146    3.2145E+01    8.4018E-03    1.0593E-04
 198.9246    3.2157E+01    8.4714E-03    9.9502E-05
 198.9346    3.2130E+01    7.7421E-03    9.3017E-05
 198.9446    3.2129E+01    7.9376E-03    1.0005E-04
 198.9546    3.2105E+01    7.7618E-03    1.0431E-04
 198.9646    3.2104E+01    7.6250E-03    1.0141E-04
 198.9746    3.2084E+01    7.3315E-03    9.8458E-05
 198.9846    3.2087E+01    7.8715E-03    1.0711E-04
 198.9946    3.2085E+01    8.0715E-03    1.0715E-04
 199.0046    3.2081E+01    7.5444E-03    9.4768E-05
 199.0146    3.2064E+01    7.6546E-03    9.6701E-05
 199.0246    3.2032E+01    7.7683E-03    1.0931E-04
 199.0346    3.2023E+01    7.6796E-03    1.0485E-04
 199.0446    3.1999E+01    8.0448E-03    1.1873E-04
 199.0546    3.1991E+01    8.2987E-03    1.2243E-04
 199.0646    3.1974E+01    8.1106E-03    1.2787E-04
 199.0746    3.1968E+01    7.4510E-03    1.1099E-04
 199.0846    3.1966E+01    7.7650E-03    1.1268E-04
 199.0946    3.1967E+01    8.5569E-03    1.2140E-04
 199.1046    3.1962E+01    8.6580E-03    1.2027E-04
 199.1146    3.1954E+01    8.0177E-03    1.0169E-04
 199.1246    3.1929E+01    8.0249E-03    1.0796E-04
 199.1346    3.1949E+01    7.2829E-03    8.2846E-05
 199.1447    3.1959E+01    7.5117E-03    8.2507E-05
 199.1547    3.1956E+01    7.4630E-03    8.3279E-05
 199.1647    3.1943E+01    7.6502E-03    8.9269E-05
 199.1747    3.1950E+01    8.3289E-03    1.0086E-04
 199.1847    3.1913E+01    8.0831E-03    1.1329E-04
 199.1947    3.1904E+01    8.1373E-03    1.1334E-04
 199.2047    3.1891E+01    8.8342E-03    1.2985E-04
 199.2147    3.1898E+01    8.5557E-03    1.1940E-04
 199.2247    3.1883E+01    8.6763E-03    1.2769E-04
 199.2347    3.1886E+01    8.5939E-03    1.2200E-04
 199.2447    3.1877E+01    9.1499E-03    1.2930E-04
 199.2547    3.1844E+01    8.3907E-03    1.2923E-04
 199.2647    3.1822E+01    8.1231E-03    1.3463E-04
 199.2747    3.1806E+01    7.7017E-03    1.3270E-04
 199.2847    3.1790E+01    7.6055E-03    1.3483E-04
 199.2947    3.1789E+01    7.0050E-03    1.2056E-04
 199.3047    3.1786E+01    7.3515E-03    1.2187E-04
 199.3147    3.1781E+01    7.0719E-03    1.1001E-04
 199.3247    3.1752E+01    7.8106E-03    1.2724E-04
 199.3347    3.1734E+01    7.5236E-03    1.2301E-04
 199.3447    3.1752E+01    8.6889E-03    1.3814E-04
 199.3547    3.1756E+01    9.4741E-03    1.5309E-04
 199.3647    3.1764E+01    9.8037E-03    1.5317E-04
 199.3747    3.1751E+01    1.0275E-02    1.6541E-04
 199.3847    3.1702E+01    9.7649E-03    1.6970E-04
 199.3947    3.1659E+01    9.9366E-03    1.8387E-04
 199.4047    3.1633E+01    1.0113E-02    1.8751E-04
 199.4147    3.1631E+01    1.0512E-02    1.8895E-04
 199.4247    3.1608E+01    1.1176E-02    2.1220E-04
 199.4347    3.1585E+01    1.0355E-02    2.0555E-04
 199.4447    3.1587E+01    9.7915E-03    1.9260E-04
 199.4547    3.1584E+01    1.0205E-02    2.0102E-04
 199.4647    3.1573E+01    1.0481E-02    2.0987E-04
 199.4747    3.1576E+01    1.1102E-02    2.1538E-04
 199.4847    3.1562E+01    1.1684E-02    2.2370E-04
 199.4947    3.1552E+01    9.9446E-03    1.8970E-04
 199.5047    3.1539E+01    1.0170E-02    1.9900E-04
 199.5147    3.1551E+01    9.8069E-03    1.8617E-04
 199.5247    3.1589E+01    8.6569E-03    1.4771E-04
 199.5347    3.1606E+01    7.6123E-03    1.1747E-04
 199.5447    3.1630E+01    8.0263E-03    1.1634E-04
 199.5547    3.1632E+01    8.3612E-03    1.2455E-04
 199.5647    3.1625E+01    9.7567E-03    1.4975E-04
 199.5747    3.1638E+01    9.4679E-03    1.3816E-04
 199.5847    3.1616E+01    1.0030E-02    1.5740E-04
 199.5947    3.1581E+01    8.5366E-03    1.3795E-04
 199.6047    3.1605E+01    8.2464E-03    1.2006E-04
 199.6147    3.1615E+01    8.5909E-03    1.2096E-04
 199.6247    3.1602E+01    8.5031E-03    1.2544E-04
 199.6347    3.1595E+01    8.5910E-03    1.2922E-04
 199.6447    3.1598E+01    8.7695E-03    1.3148E-04
 199.6547    3.1604E+01    9.1265E-03    1.3588E-04
 199.6647    3.1587E+01    9.5668E-03    1.4693E-04
 199.6747    3.1582E+01    9.3320E-03    1.3679E-04
 199.6847    3.1590E+01    8.8373E-03    1.1424E-04
 199.6947    3.1573E+01    8.1766E-03    1.0490E-04
